Amount,Broker_Status,Broker_Tier,Client_Risk_Rating,Credit_Score_2,Credit_Score_1,Current_Term_Months,Employment_Status_Borrower_2,Employment_Status,Global_Debt_Ratio,Interest_Rate,Loan_To_Value,Mortgage_Position,Mortgage_Purpose,Occupancy_Type,Property_Type,Self_Employed,Total_Debt_Service_Ratio,Approved
205067,Deactivated,Non Key Account,4,629,634,7,Hourly,Contract,30.6,6.52,77,2,Purchase,Rent To Own,Apartment Low Rise,False,38.0,0.0
487808,Approved,Key Account,4,502,621,4,Other,Hourly,20.6,4.75,50,1,Purchase Rent to Own,Rent To Own,Row,False,95.1,0.0
990856,Watch List,Non Key Account,4,499,400,30,Salary,Pension,12.2,5.54,9,1,Purchase Rent to Own,Owner,Apartment High Rise,False,92.5,0.0
1174439,Approved,Non Key Account,5,419,617,57,Pension,Other,77.0,5.93,26,2,Equity Takeout,Rent To Own,Apartment High Rise,False,93.8,0.0
1095642,Approved,Non Key Account,7,429,408,14,Commissions,Pension,50.9,5.7,79,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,76.4,0.0
196357,Approved,Key Account,4,787,613,45,Contract,Contract,13.0,5.54,31,3,Purchase Rent to Own,Owner,Apartment High Rise,False,13.2,0.0
720113,Approved,Key Account,3,651,639,53,Other,Pension,82.9,8.64,20,1,Equity Takeout,Rental,Apartment Low Rise,False,88.7,0.0
1289427,Approved,Non Key Account,2,436,518,30,Hourly,Hourly,33.6,9.43,55,1,Purchase,Rent To Own,Single,False,44.1,0.0
560106,Approved,Key Account,3,709,773,21,Commissions,Salary,73.8,7.59,51,2,Equity Takeout,Rental,Row,False,97.1,0.0
591658,Approved,Non Key Account,5,438,882,35,Contract,Other,10.8,4.88,18,1,Purchase Rent to Own,Owner,Apartment High Rise,False,47.9,0.0
1393447,Approved,Non Key Account,2,648,421,32,Other,Pension,24.3,4.69,57,2,Purchase Rent to Own,Rent To Own,Row,False,39.6,0.0
997270,Approved,Non Key Account,3,891,474,10,Pension,Hourly,84.0,8.99,32,1,Equity Takeout,Rental,Row,False,85.2,0.0
611405,Watch List,Key Account,6,469,492,38,Commissions,Commissions,30.7,9.98,71,1,Purchase Rent to Own,Rent To Own,Single,False,83.8,0.0
407126,Approved,Key Account,3,407,767,21,Self-employed,Hourly,98.0,4.65,13,3,Purchase,Owner,Single,False,99.6,0.0
1496988,Approved,Non Key Account,3,728,417,53,Commissions,Commissions,14.0,5.77,58,1,Purchase,Rental,Semi-detached,False,16.7,0.0
225538,Approved,Key Account,2,423,573,13,Salary,Other,99.0,4.01,35,3,Purchase Rent to Own,Owner,Row,False,99.7,0.0
285179,Approved,Key Account,3,699,640,15,Other,Other,16.4,5.32,71,1,Equity Takeout,Rent To Own,Apartment High Rise,False,19.0,0.0
1030167,Approved,Key Account,4,460,712,39,Commissions,Self-employed,95.9,6.71,22,1,Equity Takeout,Rental,Semi-detached,True,97.7,0.0
224624,Approved,Non Key Account,5,773,412,10,Hourly,Commissions,77.0,9.41,39,2,Refinance,Rent To Own,Apartment High Rise,False,98.2,0.0
1209611,Approved,Key Account,2,594,518,12,Commissions,Hourly,59.0,4.9,31,3,Refinance,Rental,Row,False,72.1,0.0
359028,Watch List,Non Key Account,4,698,801,17,Other,Hourly,58.1,6.25,6,1,Equity Takeout,Rental,Single,False,75.4,0.0
746368,Approved,Non Key Account,4,789,770,2,Contract,Hourly,25.7,6.02,7,2,Purchase Rent to Own,Rental,Apartment High Rise,False,51.2,0.0
782391,Deactivated,Non Key Account,5,435,618,26,Hourly,Hourly,31.0,9.48,80,2,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,51.5,0.0
879411,Deactivated,Non Key Account,4,754,693,22,Pension,Hourly,37.5,9.43,63,1,Purchase Rent to Own,Rent To Own,Single,False,86.2,0.0
1326696,Approved,Non Key Account,4,745,463,17,Contract,Other,33.8,6.9,24,1,Purchase,Rental,Single,False,56.1,0.0
553657,Approved,Non Key Account,4,842,635,6,Self-employed,Commissions,3.1,5.94,40,1,Refinance,Rental,Semi-detached,False,71.8,0.0
1405295,Watch List,Non Key Account,2,666,576,49,Pension,Pension,49.4,4.16,63,1,Equity Takeout,Owner,Apartment Low Rise,False,55.4,0.0
1130045,Watch List,Non Key Account,5,864,743,8,Contract,Salary,40.2,6.34,78,3,Refinance for Debt Consolidation,Owner,Single,False,83.2,0.0
360345,Approved,Key Account,3,850,803,9,Hourly,Pension,81.9,4.84,66,1,Purchase,Owner,Apartment High Rise,False,95.8,0.0
1251390,Approved,Non Key Account,4,496,552,21,Hourly,Contract,64.6,7.45,77,2,Purchase,Owner,Row,False,89.3,0.0
708351,Approved,Non Key Account,4,629,650,52,Contract,Salary,30.6,4.34,9,1,Equity Takeout,Rental,Row,False,33.2,0.0
1131635,Watch List,Key Account,4,707,811,48,Contract,Contract,85.2,5.29,58,3,Purchase,Rent To Own,Apartment High Rise,False,94.7,0.0
1313453,Approved,Non Key Account,5,891,673,0,Other,Salary,14.1,5.84,58,1,Purchase,Rent To Own,Apartment High Rise,False,40.6,0.0
139663,Approved,Non Key Account,3,822,580,59,Other,Commissions,9.4,5.82,23,1,Purchase,Rental,Apartment Low Rise,False,60.2,0.0
272264,Approved,Non Key Account,4,693,753,34,Self-employed,Self-employed,1.5,4.72,40,3,Refinance for Debt Consolidation,Rental,Apartment High Rise,True,31.8,0.0
798267,Watch List,Key Account,2,541,731,23,Commissions,Hourly,28.3,6.28,11,2,Refinance for Debt Consolidation,Rent To Own,Single,False,43.4,0.0
1204882,Approved,Non Key Account,5,632,760,41,Commissions,Salary,88.5,7.4,58,3,Equity Takeout,Owner,Apartment High Rise,False,96.0,0.0
713154,Approved,Key Account,3,791,824,38,Contract,Contract,20.0,9.11,58,1,Refinance for Debt Consolidation,Rental,Apartment High Rise,False,50.8,0.0
211698,Approved,Non Key Account,4,743,568,29,Commissions,Salary,62.6,5.13,17,3,Equity Takeout,Owner,Single,False,94.7,0.0
1219427,Watch List,Non Key Account,4,879,602,58,Hourly,Other,8.3,4.66,25,2,Equity Takeout,Rental,Apartment High Rise,False,45.7,0.0
281598,Approved,Non Key Account,3,695,462,38,Other,Self-employed,26.4,8.59,31,3,Refinance for Debt Consolidation,Rental,Apartment High Rise,True,62.4,0.0
801523,Approved,Non Key Account,4,450,852,5,Commissions,Commissions,10.9,5.49,62,2,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,52.0,0.0
1090236,Deactivated,Non Key Account,3,733,640,51,Contract,Commissions,78.7,9.78,54,3,Refinance,Owner,Row,False,95.3,1.0
1459374,Approved,Non Key Account,4,689,766,31,Other,Other,11.8,4.17,66,3,Refinance,Rental,Apartment High Rise,False,91.8,0.0
1083031,Deactivated,Key Account,2,689,699,15,Salary,Salary,59.4,7.24,19,1,Equity Takeout,Owner,Apartment High Rise,False,81.5,0.0
1495009,Approved,Key Account,5,651,655,17,Self-employed,Commissions,43.0,8.42,65,2,Purchase Rent to Own,Rental,Apartment Low Rise,False,44.7,0.0
331145,Approved,Key Account,4,490,857,31,Hourly,Self-employed,52.6,5.45,54,1,Purchase,Rental,Row,True,87.8,0.0
1450868,Watch List,Non Key Account,3,477,867,5,Other,Hourly,34.2,6.42,11,1,Refinance,Rent To Own,Single,False,73.8,0.0
524421,Approved,Key Account,3,860,471,26,Other,Pension,74.9,4.9,31,1,Purchase Rent to Own,Owner,Semi-detached,False,98.1,1.0
899062,Approved,Key Account,3,599,636,2,Salary,Salary,34.1,9.68,18,1,Refinance,Owner,Apartment High Rise,False,52.5,0.0
1226739,Approved,Non Key Account,4,437,449,2,Other,Self-employed,75.4,7.95,37,3,Purchase,Rent To Own,Row,True,77.8,0.0
1149263,Watch List,Key Account,3,772,789,3,Salary,Pension,43.9,6.6,28,1,Refinance,Owner,Single,False,60.0,0.0
679622,Deactivated,Non Key Account,3,698,617,4,Contract,Hourly,85.6,9.53,10,2,Purchase Rent to Own,Rent To Own,Apartment High Rise,False,99.7,0.0
1485911,Approved,Non Key Account,3,585,713,35,Hourly,Contract,86.4,9.78,21,2,Refinance for Debt Consolidation,Rent To Own,Apartment High Rise,False,88.1,0.0
571589,Watch List,Non Key Account,4,494,773,50,Hourly,Other,32.6,4.82,10,1,Refinance,Rental,Single,False,60.0,0.0
1071421,Deactivated,Non Key Account,3,716,870,34,Contract,Self-employed,41.0,7.99,71,2,Purchase Rent to Own,Rental,Row,True,95.3,0.0
1475591,Approved,Key Account,3,610,837,4,Contract,Other,89.5,8.93,78,3,Refinance for Debt Consolidation,Rental,Apartment High Rise,False,91.1,1.0
153716,Approved,Key Account,4,889,783,44,Self-employed,Commissions,55.8,6.65,22,3,Refinance,Rent To Own,Apartment High Rise,False,81.3,0.0
1036082,Deactivated,Non Key Account,1,563,750,5,Other,Commissions,61.8,7.03,76,2,Purchase Rent to Own,Owner,Apartment High Rise,False,93.2,0.0
1420993,Approved,Key Account,2,570,445,26,Salary,Other,38.8,7.99,10,2,Refinance for Debt Consolidation,Rental,Apartment High Rise,False,53.4,0.0
511468,Approved,Non Key Account,4,856,686,14,Self-employed,Salary,0.4,9.73,30,3,Refinance for Debt Consolidation,Owner,Row,False,78.7,0.0
865520,Watch List,Non Key Account,4,484,895,57,Other,Hourly,83.2,5.99,78,3,Equity Takeout,Rent To Own,Single,False,85.7,0.0
1456732,Approved,Non Key Account,4,631,492,10,Self-employed,Pension,95.9,6.57,64,1,Refinance,Owner,Semi-detached,False,97.5,0.0
1197588,Watch List,Non Key Account,5,552,894,6,Salary,Pension,84.4,4.08,21,2,Purchase Rent to Own,Rental,Apartment Low Rise,False,97.6,0.0
284412,Watch List,Non Key Account,3,591,859,19,Other,Pension,22.1,5.15,79,3,Purchase Rent to Own,Rent To Own,Apartment Low Rise,False,58.5,0.0
1120418,Watch List,Non Key Account,3,781,602,49,Contract,Salary,15.2,7.17,78,1,Purchase Rent to Own,Owner,Row,False,29.1,0.0
848414,Approved,Non Key Account,3,627,731,36,Salary,Salary,1.9,5.54,58,2,Equity Takeout,Owner,Apartment Low Rise,False,58.1,0.0
1001929,Approved,Key Account,4,573,457,13,Salary,Other,81.7,7.24,17,3,Refinance,Rent To Own,Single,False,87.6,0.0
842488,Deactivated,Key Account,3,492,703,20,Commissions,Hourly,14.6,8.71,63,3,Equity Takeout,Rental,Row,False,17.5,1.0
1308474,Approved,Key Account,4,770,613,33,Other,Pension,47.4,9.63,18,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,72.1,0.0
741111,Approved,Non Key Account,4,816,814,56,Salary,Hourly,16.9,6.53,45,3,Purchase Rent to Own,Owner,Apartment High Rise,False,41.9,0.0
1082525,Approved,Key Account,3,549,764,41,Commissions,Commissions,70.8,6.79,57,3,Refinance,Rent To Own,Row,False,84.1,1.0
691716,Watch List,Key Account,4,522,546,57,Hourly,Hourly,47.2,7.43,7,3,Equity Takeout,Rental,Apartment High Rise,False,55.7,0.0
618602,Watch List,Non Key Account,3,586,450,20,Commissions,Salary,34.4,4.25,42,3,Equity Takeout,Rental,Apartment Low Rise,False,69.6,0.0
1409999,Approved,Non Key Account,3,633,659,25,Other,Commissions,16.7,8.44,7,3,Purchase,Rental,Single,False,20.7,0.0
121549,Approved,Non Key Account,4,601,599,29,Hourly,Salary,72.7,8.84,46,2,Purchase Rent to Own,Rent To Own,Apartment High Rise,False,96.5,0.0
659999,Approved,Key Account,3,580,530,41,Other,Self-employed,63.6,5.81,19,2,Purchase,Rental,Row,True,82.4,0.0
805216,Approved,Non Key Account,1,576,485,14,Other,Self-employed,23.1,4.18,67,1,Refinance,Rental,Apartment Low Rise,True,79.8,0.0
502640,Deactivated,Non Key Account,3,478,671,12,Pension,Other,1.7,6.09,53,3,Refinance,Rental,Single,False,69.1,0.0
1128477,Approved,Non Key Account,5,570,573,26,Self-employed,Salary,7.0,9.46,24,1,Refinance,Rental,Apartment High Rise,False,34.8,0.0
964953,Approved,Non Key Account,4,860,768,41,Other,Pension,89.9,8.02,50,2,Purchase Rent to Own,Rent To Own,Semi-detached,False,91.6,0.0
374687,Watch List,Non Key Account,3,643,828,41,Hourly,Other,83.7,9.61,68,3,Refinance,Rental,Semi-detached,False,99.3,0.0
670790,Approved,Non Key Account,3,621,758,12,Self-employed,Self-employed,70.4,4.23,27,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,True,87.7,0.0
399719,Deactivated,Non Key Account,5,403,499,42,Salary,Pension,46.6,7.11,50,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,89.6,0.0
945775,Approved,Key Account,5,868,783,47,Self-employed,Salary,1.6,9.28,80,2,Equity Takeout,Owner,Row,False,28.5,0.0
226699,Approved,Key Account,2,727,662,25,Salary,Salary,31.5,4.42,15,3,Refinance for Debt Consolidation,Rent To Own,Semi-detached,False,78.6,0.0
686744,Approved,Key Account,5,496,701,4,Salary,Hourly,61.4,6.54,61,3,Refinance for Debt Consolidation,Rent To Own,Apartment Low Rise,False,83.4,0.0
1210866,Approved,Key Account,5,593,878,51,Contract,Hourly,83.6,4.69,44,1,Purchase Rent to Own,Rent To Own,Semi-detached,False,87.0,0.0
601110,Approved,Key Account,3,721,786,36,Hourly,Other,26.4,9.92,59,3,Purchase Rent to Own,Owner,Apartment High Rise,False,51.8,1.0
678344,Approved,Key Account,3,405,767,60,Pension,Contract,54.7,5.41,43,2,Refinance for Debt Consolidation,Rental,Single,False,66.0,0.0
1165405,Deactivated,Key Account,1,789,774,15,Salary,Self-employed,84.0,8.24,76,3,Purchase Rent to Own,Rent To Own,Row,True,89.0,0.0
935305,Approved,Key Account,3,484,537,32,Pension,Pension,40.1,7.43,43,3,Refinance,Rent To Own,Row,False,59.1,1.0
1025459,Watch List,Key Account,4,400,508,2,Commissions,Contract,2.7,8.45,24,2,Refinance for Debt Consolidation,Owner,Row,False,56.0,1.0
310325,Approved,Non Key Account,4,756,572,49,Other,Hourly,92.2,8.46,49,3,Purchase,Owner,Semi-detached,False,96.6,1.0
1223186,Approved,Key Account,5,824,614,19,Self-employed,Other,23.1,9.23,36,2,Refinance,Rent To Own,Apartment Low Rise,False,65.6,0.0
1428889,Approved,Key Account,4,866,603,6,Salary,Pension,74.2,6.17,13,1,Refinance,Rental,Apartment Low Rise,False,84.6,0.0
1456022,Approved,Non Key Account,4,822,896,59,Salary,Self-employed,31.2,6.57,44,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,True,32.9,0.0
1404932,Approved,Non Key Account,3,699,730,51,Hourly,Salary,29.5,6.45,19,1,Equity Takeout,Owner,Single,False,81.4,0.0
583579,Approved,Non Key Account,4,434,474,26,Contract,Salary,4.1,8.09,77,3,Purchase Rent to Own,Rent To Own,Semi-detached,False,14.5,0.0
1384959,Deactivated,Non Key Account,5,413,573,43,Self-employed,Self-employed,99.4,7.87,73,2,Refinance,Rent To Own,Row,True,99.9,0.0
929926,Approved,Non Key Account,2,682,613,34,Commissions,Hourly,53.3,9.99,54,1,Equity Takeout,Rental,Row,False,54.6,0.0
294443,Deactivated,Key Account,3,714,802,23,Other,Hourly,18.5,4.16,77,2,Refinance for Debt Consolidation,Owner,Single,False,64.8,0.0
186687,Deactivated,Key Account,4,559,633,33,Self-employed,Other,19.8,5.52,69,1,Refinance,Rent To Own,Apartment High Rise,False,96.5,0.0
147450,Watch List,Non Key Account,2,672,418,14,Hourly,Contract,55.7,7.38,38,1,Refinance for Debt Consolidation,Rent To Own,Row,False,73.6,1.0
308679,Deactivated,Non Key Account,4,663,446,57,Other,Hourly,67.6,8.97,23,1,Refinance,Owner,Apartment Low Rise,False,98.4,0.0
106411,Watch List,Non Key Account,4,900,794,18,Other,Salary,58.2,8.19,59,2,Refinance,Rental,Single,False,86.1,0.0
1476220,Watch List,Key Account,4,477,824,22,Self-employed,Contract,80.9,9.51,67,1,Purchase,Rent To Own,Apartment High Rise,False,96.5,0.0
771921,Approved,Non Key Account,2,859,769,37,Pension,Hourly,46.8,4.16,15,1,Purchase,Owner,Apartment Low Rise,False,77.1,0.0
652192,Approved,Non Key Account,2,714,778,34,Self-employed,Pension,45.8,7.69,80,3,Purchase Rent to Own,Owner,Apartment Low Rise,False,66.9,0.0
1378783,Deactivated,Non Key Account,3,520,888,15,Contract,Commissions,12.2,7.55,48,2,Purchase Rent to Own,Rental,Single,False,22.4,0.0
1022423,Approved,Key Account,2,721,722,10,Hourly,Salary,25.6,8.05,43,1,Purchase Rent to Own,Owner,Apartment High Rise,False,66.8,0.0
1345293,Approved,Key Account,3,452,813,35,Self-employed,Self-employed,82.7,9.95,39,3,Purchase,Rent To Own,Single,True,89.1,0.0
1019141,Approved,Non Key Account,4,739,473,17,Pension,Commissions,43.5,5.38,36,2,Purchase Rent to Own,Rental,Apartment High Rise,False,72.4,0.0
1023112,Approved,Key Account,5,765,856,8,Salary,Salary,83.8,6.69,22,1,Purchase Rent to Own,Rent To Own,Row,False,86.7,0.0
793119,Approved,Non Key Account,2,789,593,56,Other,Commissions,33.6,9.31,30,2,Refinance for Debt Consolidation,Rental,Single,False,63.2,0.0
714682,Watch List,Key Account,3,597,746,4,Contract,Contract,51.5,4.53,6,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,73.3,1.0
133459,Approved,Key Account,3,671,623,49,Contract,Hourly,8.8,8.95,7,2,Equity Takeout,Rental,Apartment High Rise,False,45.4,0.0
338125,Approved,Non Key Account,4,599,752,1,Contract,Self-employed,8.2,4.39,14,1,Purchase,Rental,Single,True,72.3,0.0
207490,Approved,Key Account,4,463,887,7,Salary,Commissions,27.6,8.22,56,1,Refinance,Owner,Single,False,82.0,0.0
234155,Approved,Non Key Account,3,521,643,37,Pension,Other,72.1,9.83,24,3,Refinance for Debt Consolidation,Rent To Own,Single,False,73.8,0.0
588613,Deactivated,Non Key Account,5,497,703,1,Contract,Other,80.3,4.82,22,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,97.5,0.0
218666,Watch List,Key Account,4,695,615,40,Commissions,Contract,75.8,7.34,19,3,Refinance,Owner,Apartment High Rise,False,92.7,1.0
1498455,Approved,Key Account,4,609,651,44,Other,Salary,6.5,6.54,71,2,Refinance for Debt Consolidation,Owner,Single,False,40.5,1.0
1115349,Watch List,Key Account,4,762,831,2,Commissions,Other,73.5,6.14,68,3,Purchase,Rental,Row,False,75.8,0.0
1361897,Approved,Non Key Account,3,467,866,9,Pension,Self-employed,32.2,8.59,78,1,Refinance,Owner,Semi-detached,True,45.4,0.0
966596,Approved,Key Account,3,568,539,32,Hourly,Contract,44.9,4.1,38,3,Purchase,Rental,Apartment High Rise,False,82.7,0.0
1269450,Approved,Non Key Account,3,494,773,33,Salary,Hourly,49.0,4.52,76,2,Refinance for Debt Consolidation,Rental,Semi-detached,False,64.6,0.0
463809,Watch List,Non Key Account,5,645,895,13,Self-employed,Salary,79.2,4.96,59,2,Refinance for Debt Consolidation,Owner,Row,False,89.3,0.0
380320,Approved,Non Key Account,3,814,674,1,Self-employed,Other,66.1,4.24,27,1,Refinance for Debt Consolidation,Rent To Own,Apartment High Rise,False,84.2,0.0
590477,Approved,Non Key Account,3,653,578,25,Salary,Pension,61.9,6.78,55,1,Equity Takeout,Owner,Apartment Low Rise,False,70.3,0.0
660140,Watch List,Non Key Account,2,778,690,18,Salary,Contract,45.4,7.96,60,2,Purchase,Rent To Own,Apartment High Rise,False,80.2,0.0
497562,Approved,Key Account,4,558,639,35,Salary,Other,74.0,6.72,10,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,False,89.9,1.0
317742,Approved,Key Account,3,448,722,55,Hourly,Contract,73.7,6.14,52,3,Refinance for Debt Consolidation,Rental,Semi-detached,False,83.9,1.0
1379893,Approved,Key Account,4,704,606,50,Commissions,Commissions,60.0,7.9,14,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,False,76.6,1.0
633025,Approved,Non Key Account,4,435,824,45,Other,Self-employed,65.9,7.62,20,1,Purchase,Rental,Row,True,98.4,0.0
377811,Approved,Key Account,4,718,899,56,Other,Commissions,72.8,5.6,24,2,Refinance,Owner,Apartment Low Rise,False,97.3,1.0
309745,Approved,Key Account,3,723,730,25,Hourly,Self-employed,92.3,9.75,35,1,Refinance,Rent To Own,Apartment Low Rise,True,94.8,1.0
258051,Watch List,Key Account,3,497,843,40,Salary,Salary,69.6,6.32,8,3,Purchase Rent to Own,Rental,Apartment Low Rise,False,97.3,0.0
1159148,Deactivated,Non Key Account,4,537,627,60,Hourly,Hourly,46.4,9.56,79,2,Purchase,Owner,Row,False,49.7,0.0
933805,Approved,Non Key Account,5,715,747,43,Other,Pension,12.5,6.27,7,3,Equity Takeout,Owner,Apartment Low Rise,False,24.0,0.0
248327,Watch List,Non Key Account,4,471,797,44,Salary,Hourly,55.3,8.17,35,3,Purchase Rent to Own,Rent To Own,Single,False,64.3,0.0
952808,Approved,Non Key Account,3,463,411,16,Hourly,Other,37.4,7.24,79,3,Purchase Rent to Own,Rental,Row,False,56.9,0.0
316055,Deactivated,Non Key Account,5,883,746,1,Self-employed,Commissions,83.3,7.64,69,2,Purchase,Rental,Apartment High Rise,False,91.6,0.0
934832,Approved,Key Account,6,796,770,42,Hourly,Salary,39.9,5.98,57,2,Purchase,Rental,Semi-detached,False,89.0,0.0
1362833,Approved,Non Key Account,2,660,632,45,Self-employed,Commissions,94.1,8.82,75,3,Purchase Rent to Own,Owner,Apartment High Rise,False,99.5,0.0
381547,Watch List,Key Account,5,492,404,32,Other,Pension,15.8,8.26,10,1,Refinance,Owner,Apartment High Rise,False,93.0,0.0
714870,Approved,Non Key Account,4,664,442,51,Other,Hourly,56.2,9.42,59,2,Equity Takeout,Owner,Row,False,80.6,1.0
1051942,Watch List,Non Key Account,3,410,697,58,Hourly,Other,73.8,9.26,42,3,Equity Takeout,Rent To Own,Row,False,99.9,0.0
1106612,Approved,Non Key Account,3,625,730,24,Contract,Pension,84.8,6.74,39,2,Purchase,Owner,Single,False,96.3,0.0
1019382,Deactivated,Key Account,2,782,553,41,Contract,Other,55.8,9.84,54,3,Equity Takeout,Rent To Own,Apartment High Rise,False,97.1,0.0
645803,Approved,Key Account,4,415,528,35,Hourly,Self-employed,61.4,4.77,8,2,Refinance,Rent To Own,Row,True,70.9,0.0
1460373,Approved,Key Account,4,731,801,14,Self-employed,Pension,77.9,9.54,58,1,Equity Takeout,Rent To Own,Apartment High Rise,False,78.5,0.0
150757,Approved,Non Key Account,4,465,537,6,Other,Hourly,42.9,8.75,76,3,Refinance,Rent To Own,Single,False,60.9,0.0
412873,Approved,Non Key Account,3,720,742,6,Salary,Commissions,8.2,8.21,69,2,Refinance,Rent To Own,Row,False,54.2,0.0
472640,Approved,Key Account,6,665,696,3,Commissions,Pension,28.4,6.67,54,2,Purchase,Owner,Semi-detached,False,95.1,1.0
160846,Watch List,Key Account,4,430,604,23,Pension,Pension,95.0,9.23,68,3,Refinance for Debt Consolidation,Owner,Apartment Low Rise,False,99.7,1.0
136830,Watch List,Key Account,5,828,829,21,Commissions,Hourly,62.4,4.71,45,3,Refinance for Debt Consolidation,Owner,Semi-detached,False,68.6,1.0
413044,Approved,Key Account,4,423,708,5,Commissions,Other,14.3,7.92,69,1,Purchase Rent to Own,Owner,Apartment High Rise,False,29.9,1.0
716702,Watch List,Non Key Account,4,799,769,7,Self-employed,Other,7.4,7.58,26,3,Purchase,Rent To Own,Single,False,93.3,0.0
143754,Approved,Key Account,4,662,574,1,Commissions,Salary,54.2,9.27,17,3,Purchase,Rent To Own,Apartment Low Rise,False,98.8,0.0
159842,Approved,Non Key Account,3,895,599,34,Self-employed,Salary,63.1,5.3,25,3,Purchase Rent to Own,Owner,Row,False,63.7,0.0
931693,Approved,Key Account,2,672,420,60,Other,Contract,45.4,9.95,29,2,Purchase Rent to Own,Rental,Row,False,82.8,1.0
149482,Approved,Key Account,4,801,478,37,Commissions,Self-employed,62.1,8.65,43,1,Refinance,Rent To Own,Single,True,70.0,0.0
484947,Deactivated,Key Account,3,800,579,60,Pension,Salary,85.3,5.32,36,2,Purchase,Owner,Row,False,92.3,0.0
1140834,Watch List,Key Account,5,563,439,7,Other,Hourly,56.9,9.97,53,2,Refinance,Rent To Own,Apartment High Rise,False,64.0,1.0
1274062,Approved,Key Account,4,617,723,43,Hourly,Commissions,34.8,9.19,11,2,Equity Takeout,Rental,Single,False,41.3,0.0
1060637,Approved,Key Account,2,636,562,6,Commissions,Salary,75.7,7.06,61,3,Equity Takeout,Rent To Own,Apartment Low Rise,False,82.9,0.0
1145188,Watch List,Non Key Account,4,604,533,26,Commissions,Pension,41.6,6.58,61,2,Equity Takeout,Rent To Own,Single,False,90.6,0.0
305227,Approved,Non Key Account,3,888,436,57,Salary,Commissions,70.2,5.82,8,3,Purchase Rent to Own,Owner,Apartment High Rise,False,88.1,0.0
968670,Approved,Key Account,4,745,483,0,Hourly,Self-employed,28.0,6.89,26,1,Purchase,Rent To Own,Single,True,33.7,0.0
284199,Deactivated,Non Key Account,4,681,539,20,Other,Self-employed,78.8,4.22,59,1,Refinance for Debt Consolidation,Rental,Semi-detached,True,79.1,0.0
447538,Deactivated,Key Account,2,647,762,17,Hourly,Contract,59.7,5.53,21,2,Purchase Rent to Own,Rent To Own,Single,False,68.5,1.0
908730,Approved,Non Key Account,3,500,829,57,Hourly,Pension,61.1,6.09,32,2,Equity Takeout,Rental,Semi-detached,False,73.3,0.0
301666,Approved,Non Key Account,1,731,602,43,Contract,Salary,67.7,6.2,71,3,Equity Takeout,Rent To Own,Apartment High Rise,False,97.3,0.0
550864,Approved,Key Account,4,720,688,52,Salary,Hourly,40.0,7.92,78,1,Equity Takeout,Rent To Own,Single,False,52.0,1.0
1127785,Approved,Non Key Account,3,898,769,38,Commissions,Pension,60.6,9.14,15,1,Purchase,Rent To Own,Apartment Low Rise,False,71.2,0.0
146876,Deactivated,Key Account,4,855,718,26,Contract,Hourly,52.5,9.89,32,2,Refinance,Owner,Single,False,57.0,1.0
868303,Watch List,Non Key Account,4,410,853,1,Commissions,Pension,21.1,7.74,64,3,Refinance for Debt Consolidation,Owner,Semi-detached,False,75.2,1.0
287891,Approved,Non Key Account,2,677,855,24,Salary,Other,13.9,6.28,20,1,Purchase,Rental,Apartment High Rise,False,75.2,0.0
292707,Approved,Key Account,4,548,677,25,Pension,Pension,28.3,9.16,62,1,Purchase Rent to Own,Rent To Own,Apartment High Rise,False,97.1,0.0
1447410,Deactivated,Key Account,4,748,792,3,Other,Other,61.6,4.76,40,2,Refinance,Owner,Apartment High Rise,False,64.3,0.0
1178183,Approved,Non Key Account,5,749,655,18,Hourly,Hourly,50.5,7.54,60,3,Refinance for Debt Consolidation,Rent To Own,Apartment Low Rise,False,67.3,1.0
910645,Approved,Key Account,2,826,858,40,Commissions,Salary,31.2,8.08,12,3,Equity Takeout,Rental,Apartment High Rise,False,89.5,0.0
1179361,Approved,Non Key Account,3,754,770,13,Other,Commissions,83.9,9.94,12,2,Refinance for Debt Consolidation,Owner,Single,False,93.5,1.0
1276521,Approved,Key Account,2,713,625,36,Commissions,Hourly,43.4,8.53,27,1,Purchase,Rental,Apartment Low Rise,False,67.3,0.0
1093685,Approved,Non Key Account,3,800,522,16,Contract,Commissions,28.0,5.31,66,2,Refinance,Rental,Row,False,78.6,0.0
940985,Approved,Non Key Account,4,415,867,2,Hourly,Commissions,28.3,4.36,33,1,Refinance,Rental,Semi-detached,False,53.0,0.0
1085713,Watch List,Non Key Account,4,591,682,42,Self-employed,Hourly,12.5,4.51,14,3,Refinance,Owner,Single,False,64.5,0.0
390555,Approved,Non Key Account,4,494,767,50,Commissions,Hourly,82.3,4.37,22,3,Purchase Rent to Own,Owner,Row,False,87.4,0.0
